asrtname,failcount,mutantcnt,mutant
465,3491,11,"[12, 2, 3, 5, 6, 7, 89, 90, 91, 93, 94]"
414,3429,11,"[12, 2, 3, 5, 6, 7, 89, 90, 91, 93, 94]"
96,2323,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
1136,6764,11,"[11, 5, 6, 71, 73, 74, 76, 77, 78, 82, 85]"
1099,6685,11,"[11, 5, 6, 70, 71, 74, 76, 77, 78, 79, 85]"
1500,5466,11,"[10, 5, 51, 52, 55, 57, 58, 59, 6, 60, 66]"
91,4318,11,"[32, 33, 35, 36, 38, 40, 42, 46, 5, 6, 9]"
148,1774,11,"[32, 33, 35, 36, 38, 40, 42, 46, 5, 6, 9]"
1122,3960,11,"[11, 5, 6, 70, 71, 73, 74, 76, 78, 80, 84]"
123,4362,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
998,4368,11,"[11, 5, 6, 70, 71, 73, 74, 76, 78, 80, 84]"
779,2690,11,"[12, 14, 16, 17, 20, 21, 25, 5, 6, 7, 8]"
145,5383,11,"[32, 33, 36, 38, 39, 40, 41, 47, 5, 6, 9]"
155,2736,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
1501,7320,11,"[10, 5, 51, 52, 55, 57, 58, 59, 6, 60, 66]"
106,2323,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
1491,2841,11,"[10, 5, 51, 52, 54, 55, 57, 59, 6, 61, 65]"
1452,2670,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
1095,5832,11,"[11, 5, 6, 70, 71, 73, 74, 77, 78, 79, 82]"
163,4318,11,"[32, 33, 35, 36, 38, 40, 42, 46, 5, 6, 9]"
98,1534,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
429,3574,10,"[1, 12, 4, 6, 7, 89, 90, 91, 92, 95]"
459,3818,10,"[12, 2, 3, 6, 7, 89, 90, 91, 93, 94]"
71,446,10,"[32, 33, 35, 38, 39, 40, 43, 49, 6, 9]"
1504,1219,10,"[10, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
1124,623,10,"[11, 6, 70, 71, 73, 74, 76, 78, 80, 84]"
3,1098,10,"[32, 33, 35, 38, 39, 40, 43, 49, 6, 9]"
1463,2116,10,"[10, 5, 51, 52, 54, 57, 58, 59, 62, 68]"
99,716,10,"[32, 33, 35, 38, 39, 40, 43, 49, 6, 9]"
366,1255,10,"[32, 33, 36, 38, 39, 40, 41, 47, 5, 9]"
1006,1046,9,"[11, 5, 6, 71, 73, 74, 77, 78, 82]"
1506,4209,9,"[10, 5, 52, 54, 55, 58, 59, 6, 63]"
965,575,9,"[11, 70, 71, 73, 76, 77, 78, 81, 87]"
430,3524,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
431,5196,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
432,3524,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
433,5196,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
434,5320,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
435,3320,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
439,1656,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
385,5214,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
440,5003,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
442,2298,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
428,1401,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
786,8752,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
444,2198,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
445,2198,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
446,5244,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
447,5313,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
387,5201,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
390,5264,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
427,5320,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
426,5320,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
394,3494,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
400,2599,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
402,5124,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
403,7023,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
406,1687,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
407,2616,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
1487,9581,8,"[10, 5, 55, 57, 58, 59, 6, 66]"
389,5164,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
408,2686,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
409,1605,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
14,2349,8,"[36, 38, 39, 40, 47, 5, 6, 9]"
415,3354,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
418,3123,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
388,5201,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
422,5161,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
424,3289,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
391,5029,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
425,3566,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
454,6284,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
486,3412,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
1132,6541,8,"[11, 5, 6, 74, 76, 77, 78, 85]"
478,5740,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
479,3363,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
610,8525,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
480,3485,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
611,8525,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
482,3652,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
483,3423,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
615,4240,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
485,3453,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
487,7121,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
531,8525,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
627,4079,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
626,4240,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
624,4047,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
902,4922,8,"[11, 5, 6, 74, 76, 77, 78, 85]"
475,3456,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
477,7700,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
519,8445,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
472,9511,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
470,3758,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
468,5406,8,"[12, 5, 6, 7, 89, 90, 91, 92]"
467,4695,8,"[12, 5, 6, 7, 89, 90, 91, 93]"
466,4319,8,"[12, 5, 6, 7, 89, 90, 91, 94]"
601,4363,8,"[13, 14, 21, 22, 5, 6, 7, 8]"
455,2578,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
457,1774,8,"[12, 5, 6, 7, 89, 90, 91, 95]"
1205,5444,7,"[10, 5, 51, 52, 59, 6, 60]"
1448,7724,7,"[10, 5, 51, 52, 59, 6, 60]"
1538,5492,7,"[10, 5, 51, 52, 59, 6, 60]"
1209,5444,7,"[10, 5, 51, 52, 59, 6, 60]"
92,2236,7,"[2, 32, 33, 40, 41, 5, 9]"
50,5402,7,"[32, 33, 40, 41, 5, 6, 9]"
1450,5638,7,"[10, 5, 51, 52, 59, 6, 60]"
398,1579,7,"[12, 6, 7, 89, 90, 91, 94]"
41,5432,7,"[32, 33, 40, 41, 5, 6, 9]"
1492,6508,7,"[10, 5, 51, 52, 59, 6, 60]"
58,2082,7,"[32, 33, 40, 41, 5, 6, 9]"
12,2696,7,"[32, 33, 40, 41, 5, 6, 9]"
1157,5263,7,"[11, 5, 6, 70, 71, 78, 79]"
412,1639,7,"[12, 6, 7, 89, 90, 91, 94]"
399,2645,7,"[12, 5, 7, 89, 90, 91, 94]"
89,5402,7,"[32, 33, 40, 41, 5, 6, 9]"
450,2557,7,"[12, 6, 7, 89, 90, 91, 95]"
449,3500,7,"[12, 6, 7, 89, 90, 91, 95]"
458,3380,7,"[12, 6, 7, 89, 90, 91, 93]"
461,3174,7,"[12, 6, 7, 89, 90, 91, 94]"
473,3389,7,"[12, 5, 7, 89, 90, 91, 95]"
481,4803,7,"[12, 5, 6, 7, 89, 90, 91]"
451,1708,7,"[12, 6, 7, 89, 90, 91, 94]"
488,1834,7,"[12, 5, 7, 89, 90, 91, 94]"
16,2744,7,"[32, 33, 40, 41, 5, 6, 9]"
484,4936,6,"[12, 5, 6, 7, 89, 90]"
850,6168,6,"[14, 21, 5, 6, 7, 8]"
1018,1132,6,"[11, 6, 70, 71, 78, 79]"
452,1664,6,"[12, 7, 89, 90, 91, 95]"
146,2028,5,"[33, 40, 5, 6, 9]"
441,1129,5,"[12, 5, 6, 7, 89]"
443,1172,5,"[12, 5, 6, 7, 89]"
818,5426,5,"[21, 5, 6, 7, 8]"
395,1650,4,"[12, 6, 7, 91]"
474,1098,4,"[12, 6, 7, 89]"
471,2157,4,"[12, 6, 7, 91]"
404,3431,4,"[12, 6, 7, 91]"
448,1117,4,"[12, 7, 89, 90]"
212,627,3,"[40, 5, 9]"
737,24427,3,"[5, 7, 8]"
469,24133,3,"[12, 5, 7]"
244,17959,2,"[5, 9]"
1041,17995,2,"[11, 5]"
1403,17945,2,"[10, 5]"
1376,24,2,"[1, 4]"
225,294,1,[2]
631,100,1,[3]
131,59,1,[2]
1097,237,1,[2]
849,80,1,[3]
752,396,1,[3]
794,237,1,[2]
1401,140,1,[3]
331,509,1,[2]
286,527,1,[2]
783,222,1,[2]
1138,228,1,[3]
835,80,1,[3]
617,145,1,[3]
702,145,1,[2]
144,247,1,[2]
762,209,1,[2]
1419,479,1,[3]
1077,0,0,[]
1063,0,0,[]
1065,0,0,[]
1066,0,0,[]
1076,0,0,[]
1068,0,0,[]
1075,0,0,[]
1074,0,0,[]
1070,0,0,[]
1071,0,0,[]
1072,0,0,[]
1484,0,0,[]
1062,0,0,[]
1073,0,0,[]
1291,0,0,[]
1055,0,0,[]
1061,0,0,[]
1047,0,0,[]
1037,0,0,[]
1038,0,0,[]
1039,0,0,[]
1040,0,0,[]
1042,0,0,[]
1043,0,0,[]
1044,0,0,[]
1045,0,0,[]
1046,0,0,[]
1048,0,0,[]
1060,0,0,[]
1050,0,0,[]
1051,0,0,[]
1052,0,0,[]
1054,0,0,[]
1080,0,0,[]
1056,0,0,[]
1057,0,0,[]
1058,0,0,[]
1059,0,0,[]
1079,0,0,[]
1085,0,0,[]
1081,0,0,[]
1475,0,0,[]
1115,0,0,[]
1116,0,0,[]
1117,0,0,[]
1118,0,0,[]
1119,0,0,[]
1120,0,0,[]
1121,0,0,[]
1474,0,0,[]
1473,0,0,[]
1123,0,0,[]
1471,0,0,[]
1470,0,0,[]
1469,0,0,[]
1468,0,0,[]
1467,0,0,[]
1466,0,0,[]
1465,0,0,[]
1126,0,0,[]
1127,0,0,[]
1464,0,0,[]
1462,0,0,[]
1461,0,0,[]
1129,0,0,[]
1114,0,0,[]
1112,0,0,[]
1082,0,0,[]
1111,0,0,[]
1083,0,0,[]
1084,0,0,[]
1086,0,0,[]
1087,0,0,[]
1088,0,0,[]
1089,0,0,[]
1090,0,0,[]
1483,0,0,[]
1092,0,0,[]
1480,0,0,[]
1479,0,0,[]
