mutant,failcount,asrtname
2,4187,"[92, 131, 144, 152, 225, 286, 326, 331, 414, 459, 463, 465, 702, 762, 783, 794, 1097]"
47,4050,"[1, 14, 18, 20, 28, 87, 88, 145, 152, 187, 315, 317, 321, 326, 349, 358, 366, 377]"
93,3647,"[387, 388, 389, 403, 414, 425, 426, 427, 434, 454, 458, 459, 463, 465, 467, 472, 478, 482, 485, 486]"
44,3534,"[1, 18, 20, 28, 87, 88, 152, 187, 315, 317, 321, 326, 358, 377]"
25,3472,"[494, 498, 509, 513, 521, 604, 614, 666, 779, 782, 793, 834, 837]"
5,3181,"[1, 12, 14, 16, 18, 28, 41, 50, 58, 87, 88, 89, 91, 92, 96, 97, 98, 106, 123, 145, 146, 148, 152, 155, 163, 187, 202, 212, 229, 244, 259, 317, 321, 326, 349, 358, 366, 377, 379, 385, 387, 388, 389, 390, 391, 394, 399, 400, 402, 403, 406, 407, 408, 409, 414, 415, 418, 419, 422, 424, 425, 426, 427, 428, 430, 431, 432, 433, 434, 435, 439, 440, 441, 442, 443, 444, 445, 446, 447, 454, 455, 457, 460, 463, 465, 466, 467, 468, 469, 470, 472, 473, 475, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 494, 498, 502, 509, 513, 519, 521, 531, 534, 542, 553, 558, 562, 563, 564, 595, 601, 604, 610, 611, 614, 615, 624, 625, 626, 627, 632, 636, 666, 737, 779, 780, 781, 782, 786, 793, 817, 818, 822, 823, 824, 826, 834, 837, 846, 850, 851, 859, 872, 902, 907, 908, 909, 919, 921, 946, 969, 979, 998, 1006, 1041, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1125, 1128, 1132, 1134, 1136, 1145, 1149, 1152, 1155, 1157, 1165, 1166, 1169, 1174, 1203, 1204, 1205, 1209, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1265, 1271, 1275, 1403, 1448, 1449, 1450, 1452, 1463, 1478, 1481, 1482, 1486, 1487, 1491, 1492, 1497, 1500, 1501, 1503, 1506, 1521, 1535, 1537, 1538]"
94,2819,"[390, 391, 398, 399, 406, 407, 409, 412, 414, 418, 424, 435, 439, 440, 451, 459, 461, 463, 465, 466, 470, 477, 483, 488]"
3,2806,"[414, 459, 463, 465, 526, 617, 631, 752, 806, 835, 849, 1138, 1216, 1271, 1401, 1419]"
6,2488,"[1, 3, 12, 14, 16, 18, 20, 28, 41, 50, 58, 71, 87, 88, 89, 91, 96, 97, 98, 99, 106, 123, 145, 146, 148, 155, 163, 187, 202, 229, 259, 315, 317, 326, 349, 358, 377, 379, 385, 387, 388, 389, 390, 391, 394, 395, 398, 400, 402, 403, 404, 406, 407, 408, 409, 412, 414, 415, 418, 419, 422, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 439, 440, 441, 442, 443, 444, 445, 446, 447, 449, 450, 451, 454, 455, 457, 458, 459, 460, 461, 463, 465, 466, 467, 468, 470, 471, 472, 474, 475, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 494, 498, 502, 509, 513, 519, 521, 526, 531, 534, 542, 553, 555, 558, 562, 563, 564, 595, 601, 604, 610, 611, 614, 615, 618, 624, 625, 626, 627, 632, 636, 666, 726, 779, 780, 781, 782, 786, 793, 806, 817, 818, 822, 823, 824, 826, 831, 834, 837, 846, 850, 851, 859, 872, 902, 907, 908, 909, 919, 921, 946, 969, 979, 998, 1006, 1018, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1132, 1134, 1136, 1145, 1149, 1152, 1155, 1157, 1165, 1166, 1169, 1174, 1203, 1204, 1205, 1209, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1265, 1271, 1275, 1448, 1450, 1452, 1458, 1478, 1481, 1482, 1486, 1487, 1491, 1492, 1497, 1500, 1501, 1503, 1504, 1506, 1521, 1535, 1537, 1538]"
27,2323,"[534, 553, 555, 563, 564, 625, 822, 823, 826, 831, 846, 851]"
23,2323,"[534, 553, 555, 563, 564, 625, 822, 823, 826, 831, 846, 851]"
