asrtname,failcount,mutantcnt,mutant
553,42,1,[42]
551,203,1,[42]
540,6,1,[50]
539,18,1,[50]
537,6,1,[50]
535,16,1,[50]
534,23,1,[50]
532,202,1,[50]
531,26,1,[27]
526,6,1,[60]
633,2,1,[27]
521,16,1,[60]
518,203,1,[60]
517,11,1,[27]
511,13,1,[70]
508,14,1,[70]
503,201,1,[70]
550,29,1,[27]
638,1,1,[27]
411,22,1,[42]
382,2,1,[79]
95,4,1,[42]
103,1,1,[2]
118,1,1,[2]
124,1,1,[12]
381,3,1,[79]
379,4,1,[79]
133,4,1,[2]
335,1,1,[52]
376,1,1,[79]
374,1,1,[79]
373,3,1,[79]
368,1,1,[2]
256,1,1,[21]
363,1,1,[72]
357,1,1,[62]
356,1,1,[62]
353,1,1,[62]
352,2,1,[62]
351,2,1,[2]
349,1,1,[62]
342,2,1,[52]
332,3,1,[52]
339,1,1,[52]
72,1,1,[70]
137,1,1,[70]
338,3,1,[52]
29,1,1,[12]
405,6,1,[34]
43,1,1,[70]
25,1,1,[22]
36,1,1,[2]
21,1,1,[2]
41,1,1,[55]
46,1,1,[2]
32,1,1,[2]
19,1,1,[2]
410,19,1,[42]
23,4,1,[2]
561,0,0,[]
631,0,0,[]
562,0,0,[]
564,0,0,[]
560,0,0,[]
559,0,0,[]
558,0,0,[]
34,0,0,[]
557,0,0,[]
566,0,0,[]
322,0,0,[]
323,0,0,[]
324,0,0,[]
325,0,0,[]
326,0,0,[]
327,0,0,[]
328,0,0,[]
329,0,0,[]
12,0,0,[]
334,0,0,[]
536,0,0,[]
565,0,0,[]
60,0,0,[]
567,0,0,[]
585,0,0,[]
74,0,0,[]
49,0,0,[]
613,0,0,[]
597,0,0,[]
596,0,0,[]
107,0,0,[]
48,0,0,[]
47,0,0,[]
588,0,0,[]
617,0,0,[]
587,0,0,[]
586,0,0,[]
584,0,0,[]
568,0,0,[]
583,0,0,[]
139,0,0,[]
578,0,0,[]
577,0,0,[]
576,0,0,[]
575,0,0,[]
623,0,0,[]
574,0,0,[]
573,0,0,[]
624,0,0,[]
35,0,0,[]
51,0,0,[]
569,0,0,[]
519,0,0,[]
336,0,0,[]
453,0,0,[]
434,0,0,[]
403,0,0,[]
436,0,0,[]
437,0,0,[]
439,0,0,[]
440,0,0,[]
441,0,0,[]
442,0,0,[]
443,0,0,[]
444,0,0,[]
445,0,0,[]
446,0,0,[]
447,0,0,[]
448,0,0,[]
450,0,0,[]
433,0,0,[]
432,0,0,[]
431,0,0,[]
421,0,0,[]
415,0,0,[]
409,0,0,[]
417,0,0,[]
418,0,0,[]
419,0,0,[]
408,0,0,[]
422,0,0,[]
404,0,0,[]
423,0,0,[]
407,0,0,[]
425,0,0,[]
406,0,0,[]
427,0,0,[]
428,0,0,[]
452,0,0,[]
454,0,0,[]
527,0,0,[]
455,0,0,[]
359,0,0,[]
504,0,0,[]
505,0,0,[]
507,0,0,[]
509,0,0,[]
510,0,0,[]
350,0,0,[]
512,0,0,[]
513,0,0,[]
348,0,0,[]
413,0,0,[]
346,0,0,[]
522,0,0,[]
524,0,0,[]
341,0,0,[]
361,0,0,[]
362,0,0,[]
364,0,0,[]
463,0,0,[]
456,0,0,[]
457,0,0,[]
378,0,0,[]
459,0,0,[]
461,0,0,[]
462,0,0,[]
464,0,0,[]
365,0,0,[]
370,0,0,[]
369,0,0,[]
470,0,0,[]
471,0,0,[]
367,0,0,[]
366,0,0,[]
375,0,0,[]
