rst,empty,[8bits]DUT_LBDR.Rxy,[4bits]DUT_LBDR.Cx,[3bits]flit_id,[4bits]dst_addr,[4bits]DUT_LBDR.cur_addr,DUT_LBDR.Rne,DUT_LBDR.Rnw,DUT_LBDR.Ren,DUT_LBDR.Res,DUT_LBDR.Rwn,DUT_LBDR.Rws,DUT_LBDR.Rse,DUT_LBDR.Rsw,DUT_LBDR.Cn,DUT_LBDR.Ce,DUT_LBDR.Cw,DUT_LBDR.Cs,DUT_LBDR.N1,DUT_LBDR.E1,DUT_LBDR.W1,DUT_LBDR.S1,[2bits]DUT_LBDR.x_cur,[2bits]DUT_LBDR.y_cur,[2bits]DUT_LBDR.x_dst,[2bits]DUT_LBDR.y_dst Nport,Eport,Wport,Sport,Lport
1111000011111101000101011110000111111101011101000 00000
1100111100111101000101000001111001111110000101000 00000
0111000011111101000101100110000111111110000111000 00000
1011000011111101000101100110000111111110000111000 00000
1111000011111100100100010110000111111000010001000 00000
1111000011111100100101000110000111111110000101000 00000
1100111100111100100101100001111001111110000111000 00000
1111000011111101000100011110000111111001011001000 00000
1100111100111101000101000001111001111110000101000 00000
0100111100111101000101000001111001111110000101000 00000
0000111100111101000101000001111001111110000101000 00000
1000111100111101000101000001111001111110000101000 00000
0100111100111101000101101001111001111110001111000 00000
0000111100111100110111101001111001111110001111110 00000
1000111100111101010111101001111001111110001111110 01000
0100111100111100110111000001111001111010000101110 00000
0100111100111101010111000001111001111010000101110 00000
1000111100111101010111000001111001111010000101110 00000
1000111100111100110110100001111001111010100011110 00000
1000111100111101010110111001111001111000111011110 00000
1011000011111100110110100110000111111010100011110 00000
0111000011111100110111101110000111111110001111110 00000
0011000011111100101011101110000111111100001110101 00000
0011000011111100100001101110000111111101001110000 10000
1111000011111101000001101110000111111101001110000 10000
1011000011111100100001000110000111111100000100000 00000
1011000011111101000000011110000111111001011000000 00000
0111000011111100100001110110000111111101010110000 00000
0011000011111100111001110110000111111001010110011 00000
0111000011111101011001110110000111111001010110011 00100
