rst,empty,[8bits]Rxy_rst,[4bits]Cx_rst,[3bits]flit_id,[4bits]dst_addr,[4bits]cur_addr_rst Nport,Eport,Wport,Sport,Lport
1111000011111101001001011 00000
0011000011111100100011011 00000
1100111100111101000011111 10000
0100111100111101000011111 00000
0100111100111101000011111 00000
0000111100111100101011111 00000
0100111100111100101011111 00100
1111000011111100101011110 00000
0011000011111101001011110 00000
0011000011111101001011110 00000
0111000011111101001011110 00000
0011000011111100101001110 00000
1111000011111100101000111 10000
1100111100111100101000101 00000
0000111100111100100110101 00000
0000111100111101000110101 01000
1100111100111101000111011 01000
1111000011111100100110101 00000
1000111100111101000110000 00000
0100111100111101000110000 00000
0000111100111101000110000 00000
1000111100111100100110100 00000
1000111100111101000110110 00000
1100111100111100100111111 00000
0100111100111100100111111 00000
1100111100111100100111100 00000
1100111100111100100111000 00000
1000111100111100100111010 00000
1111000011111100100110111 00000
0011000011111101000110111 00000
1100111100111100100110000 00000
0000111100111101000110000 00000
1011000011111100100110110 00000
0111000011111100100110110 00000
0011000011111100101110110 00000
0111000011111101001110110 01000
0011000011111101001110110 00000
1000111100111100101111011 00000
0000111100111101001111011 00000
1000111100111100101111100 00000
1111000011111100101110010 00000
1011000011111100101111110 00000
1111000011111101001110101 00000
1011000011111100101110011 00000
0111000011111101001110011 00000
0011000011111101001110011 00000
0111000011111101001110011 00000
0011000011111100111010011 00000
1100111100111100111011110 00010
1100111100111100111011110 00000
1011000011111101011011111 00000
0011000011111100110101111 00000
0111000011111101010101111 10000
0111000011111100110101111 00000
0011000011111101010101111 00000
1000111100111100110101000 00000
1000111100111101010100110 00000
1011000011111100110101111 00000
1100111100111100110101111 00000
0000111100111101010101111 00000
1011000011111100110101000 00000
1000111100111100110101110 00000
0000111100111100111011110 00000
0100111100111100111011110 00100
0000111100111100101111110 00000
0100111100111101001111110 01000
1100111100111101001111110 00000
1100111100111100101110011 00000
1000111100111100101110010 00000
1100111100111101001110011 00000
1011000011111101001111101 00000
0011000011111101001111101 00000
1000111100111101001111101 00000
1111000011111100101111111 00000
1011000011111100101110001 00000
1000111100111101001110110 00000
1011000011111100101111111 00000
0011000011111101001111111 00000
0111000011111100101111111 00000
1000111100111101001110110 00000
1100111100111101001111101 00000
0100111100111100101111101 00000
1000111100111101001110111 00000
0000111100111101001110111 00000
0000111100111100101110111 00000
1111000011111101001110100 00001
1011000011111100101110110 00000
0111000011111101001110110 00000
0111000011111100101110110 00000
1100111100111100101110110 00000
0100111100111101001110110 00000
1011000011111101001110001 00000
0111000011111101001110001 00000
0111000011111101001110001 00000
1100111100111100101111100 00000
0000111100111101001111100 00000
1000111100111101001111010 00000
1011000011111100101111011 00000
1011000011111100101111001 00000
0011000011111101001111001 00000
0011000011111100101001001 00000
1000111100111100101001101 10000
0000111100111100100001101 00000
1011000011111101000001110 00100
0111000011111101000001110 00000
0111000011111101000001110 00000
0011000011111100111001110 00000
0011000011111101011001110 00100
0111000011111101011001110 00100
0011000011111101011001110 00000
1111000011111100111000001 00000
1111000011111100111001001 00000
0111000011111100111001001 00000
1011000011111101011000110 00000
0011000011111100100000110 00000
1111000011111100100000001 10000
0111000011111101000000001 00000
0111000011111101000000001 00000
0111000011111101000000001 00000
1000111100111100100000110 00000
1000111100111100100000011 00000
0100111100111100100000011 00000
1000111100111100100000001 00000
1100111100111101000001101 00000
1011000011111101000001100 00000
0011000011111100101101100 00000
1011000011111100101100001 10000
1011000011111100101101000 00000
0011000011111101001101000 00000
0111000011111101001101000 00000
1011000011111101001100011 00000
1011000011111101001101101 00000
0011000011111101001101101 00000
1111000011111101001100011 00000
0011000011111101001100011 00000
1011000011111101001100110 00000
0011000011111100111100110 00000
0111000011111100111100110 00010
1100111100111100111101000 00000
1100111100111101011101000 00000
1011000011111100111100101 00000
1000111100111101011101111 00000
0100111100111101011101111 00000
1111000011111101011101101 00000
1000111100111101011100000 00000
0100111100111101011100000 00000
1100111100111101011100010 00000
1111000011111101011100101 00000
0111000011111100111100101 00000
0111000011111100111100101 00000
0011000011111101011100101 00000
1000111100111101011100001 00000
1000111100111100111100111 00000
0000111100111100111010111 00000
0000111100111100101100111 00100
1000111100111101001101110 00100
0000111100111101001101110 00000
1100111100111101001100100 00000
0100111100111100101100100 00000
0100111100111101001100100 00000
1000111100111100101100100 00000
1011000011111100101100110 00000
1100111100111100101101011 00000
1100111100111100101100101 00000
1000111100111100101101100 00000
1100111100111101001101010 00000
1000111100111101001101001 00000
1100111100111100101100000 00000
0000111100111100110100000 00000
1100111100111101010100001 01000
1100111100111101010101101 00000
0100111100111100110101101 00000
0100111100111100110101101 00000
1100111100111101010101101 00000
0100111100111100110101101 00000
1011000011111100110101111 00000
0111000011111101010101111 00000
1011000011111101010100110 00000
0011000011111101010100110 00000
1111000011111101010101111 00000
1100111100111101010101101 00000
0000111100111100100111101 00000
0000111100111100111001101 01000
0100111100111100111001101 00100
0100111100111100111001101 00000
0100111100111101011001101 00000
0000111100111100111111101 00000
1011000011111100111110100 01000
0111000011111100111110100 00000
0111000011111100111110100 00000
1111000011111101011111001 00000
1011000011111100111110101 00000
0111000011111101011110101 00000
1011000011111101011111000 00000
0111000011111101011111000 00000
1011000011111100111111000 00000
0111000011111100111111000 00000
1011000011111101011110001 00000
0011000011111100101000001 00000
1000111100111100101000000 00010
0100111100111100101000000 00000
0100111100111100101000000 00000
0000111100111101001000000 00000
0100111100111100101000000 00000
1000111100111101001001010 00000
1111000011111101001001110 00000
1100111100111101001000111 00000
0100111100111100101000111 00000
1100111100111101001000011 00000
